Município;Assist_Soc;Psic;Psiqui;Acoes_prom;Acoes_comp;2017;2018;2019;2020;2021;Ar_Ter_km2;Pop_Est;PIB;IDH
410330 Borrazópolis;2.0;5.0;1.0;31562;0;0;0;0;0;0;3433210;53380;3136085;7.01
410420 Campo Largo;16.0;40.0;5.0;6180;0;13835;0;0;0;0;2753520;301510;1464471;7.01
410780 Floraí;1.0;3.0;0.0;0;0;0;0;0;0;0;2463310;103600;2337168;7.01
412035 Pranchita;1.0;3.0;0.0;35262;0;47;0;0;0;0;4144420;111380;2699066;7.01
412175 Reserva do Iguaçu;1.0;2.0;0.0;808;0;28;19;0;0;0;3747320;128690;1780107;7.01
410890 Guairaçá;2.0;2.0;0.0;30619;0;45;27;0;0;0;1891;37670;2686215;7.02
411940 Piraí do Sul;3.0;5.0;0.0;0;0;138;0;0;0;0;1663747;296860;2916359;7.02
412850 Wenceslau Braz;3.0;5.0;0.0;45425;0;150;119;0;0;0;3082180;68790;5287669;7.02
410480 Cascavel;146.0;220.0;25.0;554132;0;2368;2390;816;612;0;2531503;721250;3962973;7.03
410990 Icaraíma;2.0;5.0;0.0;26645;0;23148;30319;47623;20720;0;1069370;22510;2744245;7.03
411450 Manoel Ribas;2.0;5.0;0.0;40;0;0;0;0;0;0;4862240;55930;1898205;7.03
412667 Tamarana;2.0;2.0;0.0;558;0;76;68;0;0;0;5913990;164800;2814678;7.03
410165 Arapuã;0.0;1.0;0.0;0;0;88;30;0;0;0;4931910;140290;3253831;7.04
410380 Cambira;5.0;6.0;0.0;1215;0;0;0;0;0;0;7966140;138880;2882318;7.04
412125 Ramilândia;1.0;1.0;0.0;10142;0;0;0;0;0;0;2413860;26020;5256733;7.04
412270 Sabáudia;2.0;1.0;0.0;17632;0;0;0;0;0;0;20052;48620;1786207;7.04
412385 Santa Maria do Oeste;3.0;3.0;0.0;0;0;21;19;0;0;0;2599570;40520;2262531;7.04
412555 São Manoel do Paraná;0.0;1.0;0.0;22403;0;10;3;0;0;0;8519170;276960;3671962;7.04
412575 São Pedro do Iguaçu;2.0;2.0;0.0;0;0;0;0;0;0;0;2506540;22650;2811646;7.04
412640 Sertaneja;1.0;2.0;0.0;17466;0;35;24;0;0;0;2780350;214760;2606049;7.04
411010 Imbituva;2.0;3.0;0.0;83137;0;465;330;0;0;0;1947040;31220;1617051;7.05
411260 Jardim Olinda;1.0;0.0;0.0;0;0;0;0;0;0;0;2474960;82510;4057475;7.05
411960 Pitanga;4.0;14.0;0.0;1606;0;17;0;0;0;0;3561920;42810;2305969;7.05
412320 Santa Cecília do Pavão;1.0;2.0;0.0;0;0;0;0;0;0;0;2762410;123300;2275357;7.05
412395 Santa Mônica;0.0;1.0;0.0;535;0;15;0;0;0;0;32619;100550;3664722;7.05
410250 Barbosa Ferraz;1.0;5.0;1.0;430;0;51;14;0;0;0;1714020;103470;2406718;7.06
410445 Cantagalo;2.0;3.0;0.0;3129;0;44;54;0;0;0;4190360;191720;3243722;7.06
411040 Indianópolis;2.0;3.0;0.0;41430;0;0;0;0;0;0;6478940;136420;2606201;7.06
411140 Ivaí;2.0;4.0;0.0;12839;0;0;0;0;0;0;4109070;82940;2407753;7.06
411300 Jussara;1.0;3.0;0.0;3497;0;0;0;0;0;0;2093859;486510;3429229;7.06
